Group,Artifact,Version,GitHub Link
androidx.compose.ui,ui,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-geometry,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-text,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling-data,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling-preview,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-unit,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-util,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-text,1.7.2,https://github.com/dessalines/jerboa
androidx.compose.ui,ui-text-android,1.7.2,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.1.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.annotation,annotation-experimental,1.4.0 -> 1.4.1 (*),https://github.com/dessalines/jerboa
androidx.collection,collection,1.4.0 -> 1.4.4 (*),https://github.com/dessalines/jerboa
androidx.compose.runtime,runtime,1.7.2 (*),https://github.com/dessalines/jerboa
androidx.compose.runtime,runtime-saveable,1.7.2 (*),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-graphics,1.7.2 (*),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-unit,1.7.2 (*),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-util,1.7.2 (*),https://github.com/dessalines/jerboa
androidx.core,core,1.7.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
androidx.emoji2,emoji2,1.2.0 -> 1.3.0,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.2.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.collection,collection,1.1.0 -> 1.4.4 (*),https://github.com/dessalines/jerboa
androidx.core,core,1.3.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-process,2.4.1 -> 2.8.5,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.2.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime,2.8.5 (*),https://github.com/dessalines/jerboa
androidx.startup,startup-runtime,1.1.1 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 2.1.0 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-common,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-common-java8,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata-core,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata-core-ktx,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime-compose,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime-ktx,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel-compose,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel-ktx,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel-savedstate,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.startup,startup-runtime,1.0.0 -> 1.1.1 (*),https://github.com/dessalines/jerboa
androidx.emoji2,emoji2-views-helper,1.3.0 (c),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 2.1.0 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlinx,kotlinx-coroutines-core,1.7.3 -> 1.10.1 (*),https://github.com/dessalines/jerboa
androidx.compose.ui,ui,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-geometry,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-graphics,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling-data,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling-preview,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-unit,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-util,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-unit,1.7.2 (*),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-util,1.7.2 (*),https://github.com/dessalines/jerboa
androidx.core,core,1.12.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
androidx.customview,customview-poolingcontainer,1.0.0,https://github.com/dessalines/jerboa
androidx.core,core-ktx,1.5.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.6.21 -> 2.1.0 (*),https://github.com/dessalines/jerboa
androidx.emoji2,emoji2,1.2.0 -> 1.3.0 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime-compose,2.8.3 -> 2.8.5,https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime-compose-android,2.8.5,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.8.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.compose.runtime,runtime,1.6.5 -> 1.7.2 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime,2.8.5 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime-ktx,2.8.5 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-common,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata-core,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-process,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime-ktx,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel-compose,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel-savedstate,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel-ktx,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-common-java8,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata-core-ktx,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel,2.6.1 -> 2.8.5 (*),https://github.com/dessalines/jerboa
androidx.profileinstaller,profileinstaller,1.3.1 (*),https://github.com/dessalines/jerboa
androidx.savedstate,savedstate-ktx,1.2.1 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 2.1.0 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlinx,kotlinx-coroutines-android,1.7.3 -> 1.10.1 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlinx,kotlinx-coroutines-core,1.7.3 -> 1.10.1 (*),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-geometry,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-graphics,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-text,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling-preview,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-unit,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-util,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.foundation,foundation,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling-data,1.7.2 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel,2.6.1 -> 2.8.5 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 2.1.0 (*),https://github.com/dessalines/jerboa
androidx.activity,activity,1.8.2 (c),https://github.com/dessalines/jerboa
androidx.activity,activity-ktx,1.8.2 (c),https://github.com/dessalines/jerboa
androidx.appcompat,appcompat,1.7.0,https://github.com/dessalines/jerboa
androidx.activity,activity,1.7.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.3.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.appcompat,appcompat-resources,1.7.0,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.2.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.collection,collection,1.0.0 -> 1.4.4 (*),https://github.com/dessalines/jerboa
androidx.core,core,1.6.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
androidx.vectordrawable,vectordrawable,1.1.0,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.1.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.core,core,1.1.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
androidx.collection,collection,1.1.0 -> 1.4.4 (*),https://github.com/dessalines/jerboa
androidx.vectordrawable,vectordrawable-animated,1.1.0,https://github.com/dessalines/jerboa
androidx.vectordrawable,vectordrawable,1.1.0 (*),https://github.com/dessalines/jerboa
androidx.interpolator,interpolator,1.0.0 (*),https://github.com/dessalines/jerboa
androidx.collection,collection,1.1.0 -> 1.4.4 (*),https://github.com/dessalines/jerboa
androidx.appcompat,appcompat,1.7.0 (c),https://github.com/dessalines/jerboa
androidx.collection,collection,1.0.0 -> 1.4.4 (*),https://github.com/dessalines/jerboa
androidx.core,core,1.13.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
androidx.core,core-ktx,1.13.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
androidx.cursoradapter,cursoradapter,1.0.0,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.0.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.drawerlayout,drawerlayout,1.0.0,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.0.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.core,core,1.0.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
androidx.customview,customview,1.0.0,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.0.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.core,core,1.0.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
androidx.emoji2,emoji2,1.3.0 (*),https://github.com/dessalines/jerboa
androidx.emoji2,emoji2-views-helper,1.2.0 -> 1.3.0,https://github.com/dessalines/jerboa
androidx.collection,collection,1.1.0 -> 1.4.4 (*),https://github.com/dessalines/jerboa
androidx.core,core,1.3.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
androidx.emoji2,emoji2,1.3.0 (*),https://github.com/dessalines/jerboa
androidx.emoji2,emoji2,1.3.0 (c),https://github.com/dessalines/jerboa
androidx.fragment,fragment,1.5.4,https://github.com/dessalines/jerboa
androidx.activity,activity,1.5.1 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.1.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.annotation,annotation-experimental,1.0.0 -> 1.4.1 (*),https://github.com/dessalines/jerboa
androidx.collection,collection,1.1.0 -> 1.4.4 (*),https://github.com/dessalines/jerboa
androidx.core,core-ktx,1.2.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata-core,2.5.1 -> 2.8.5 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel,2.5.1 -> 2.8.5 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel-savedstate,2.5.1 -> 2.8.5 (*),https://github.com/dessalines/jerboa
androidx.loader,loader,1.0.0,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.0.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.core,core,1.0.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata,2.0.0 -> 2.8.5,https://github.com/dessalines/jerboa
androidx.arch.core,core-common,2.2.0 (*),https://github.com/dessalines/jerboa
androidx.arch.core,core-runtime,2.2.0 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata-core,2.8.5 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata-core-ktx,2.8.5,https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata-core,2.8.5 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 2.1.0 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-common,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-common-java8,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata-core,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-process,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime-compose,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime-ktx,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel-compose,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel-ktx,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel-savedstate,2.8.5 (c),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 2.1.0 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlinx,kotlinx-coroutines-core,1.7.3 -> 1.10.1 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-common,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-common-java8,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata-core,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-livedata-core-ktx,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-process,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime-compose,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime-ktx,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel-compose,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel-ktx,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel-savedstate,2.8.5 (c),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel,2.0.0 -> 2.8.5 (*),https://github.com/dessalines/jerboa
androidx.savedstate,savedstate,1.2.0 -> 1.2.1 (*),https://github.com/dessalines/jerboa
androidx.viewpager,viewpager,1.0.0,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.0.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.core,core,1.0.0 -> 1.13.1 (*),https://github.com/dessalines/jerboa
androidx.customview,customview,1.0.0 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.6.21 -> 2.1.0 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-runtime,2.6.1 -> 2.8.5 (*),https://github.com/dessalines/jerboa
androidx.lifecycle,lifecycle-viewmodel,2.6.1 -> 2.8.5 (*),https://github.com/dessalines/jerboa
androidx.profileinstaller,profileinstaller,1.3.1 (*),https://github.com/dessalines/jerboa
androidx.resourceinspection,resourceinspection-annotation,1.0.1,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.1.0 -> 1.8.2 (*),https://github.com/dessalines/jerboa
androidx.savedstate,savedstate,1.2.1 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 2.1.0 (*),https://github.com/dessalines/jerboa
androidx.appcompat,appcompat-resources,1.7.0 (c),https://github.com/dessalines/jerboa
me.zhanghai.compose.preference,library,1.1.1,https://github.com/dessalines/jerboa
androidx.compose,compose-bom,2024.09.00,https://github.com/dessalines/jerboa
androidx.compose.animation,animation,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.foundation,foundation,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.foundation,foundation-layout,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.material,material-icons-extended,1.7.0 (c),https://github.com/dessalines/jerboa
androidx.compose.material3,material3,1.3.0 (c),https://github.com/dessalines/jerboa
androidx.compose.material3,material3-window-size-class,1.3.0 (c),https://github.com/dessalines/jerboa
androidx.compose.runtime,runtime,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.runtime,runtime-livedata,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.runtime,runtime-saveable,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling-preview,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-util,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.runtime,runtime-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.animation,animation-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.foundation,foundation-layout-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.runtime,runtime-saveable-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.material,material-icons-extended-android,1.7.0 (c),https://github.com/dessalines/jerboa
androidx.compose.material3,material3-android,1.3.0 (c),https://github.com/dessalines/jerboa
androidx.compose.material3,material3-window-size-class-android,1.3.0 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-geometry,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-graphics,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-text,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-unit,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.animation,animation-core,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.material,material-icons-core,1.7.0 (c),https://github.com/dessalines/jerboa
androidx.compose.material,material-ripple,1.7.0 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-util-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling-preview-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.foundation,foundation-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-geometry-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-graphics-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-text-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-unit-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.animation,animation-core-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.material,material-icons-core-android,1.7.0 (c),https://github.com/dessalines/jerboa
androidx.compose.material,material-ripple-android,1.7.0 (c),https://github.com/dessalines/jerboa
androidx.compose.material,material,1.7.0 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling-data,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.ui,ui-tooling-data-android,1.7.0 -> 1.7.2 (c),https://github.com/dessalines/jerboa
androidx.compose.material,material-android,1.7.0 (c),https://github.com/dessalines/jerboa
